Reference,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
26,Coleman&Lanphere*,1971,157,12,K-Ar,Act,Grt-Gln schist,bs,Crevison Pk,7-70,Table 2
4,Anczkiewicz et al.,2004,157.9,0.7,Lu-Hf,Grt-Cpx,Eclogite,eclogite,Jenner,PG31,
134,McDowell et al.,1984,158,10,K-Ar,Act,Qtz Mica schist,ms,Elk Creek,39,S. Fk. Mtn. Schist
273,Wakabayashi&Dimitru,2007,158.91,1.14,Ar-Ar,Hbl,Grt amph,amph,Hunters Pt S.Z.,HPSZ,Isochron
27,Coleman&Lanphere*,1971,159,16,K-Ar,Act,Grt amph,amph,Crevison Pk,9-70,Table 2
104,McDowell et al.,1984,159,6,K-Ar,wm,Gln schist,bs,Covelo-Layton.,10,Eel River melange
109,McDowell et al.,1984,159,6,K-Ar,Act,amph,amph,Sanhedrin Mtn.,14,Elk Creek Melange
133,McDowell et al.,1984,159,10,K-Ar,Act,Qtz Mica schist,ms,Elk Creek,38,S. Fk. Mtn. Schist
180,Mulcahy et al.,this work,160,4,U-Pb,Zrn,Grt-Omp amph,amph,Tiburon,EA,"206/238, Hbl matrix"
169,Ross&Sharp,1988,161.1,1.7,Ar-Ar,Hbl,Grt amph,amph,Panoche/Hermes?,,Mean of three plateau samples
89,Mattinson,1986,162,3,U-Pb,Lws-Gln-Spn,Metabasalt,bs,Taliaferro Complex,TC,Isochron
149,McDowell et al.,1984,162,6,K-Ar,Hbl,Gabbro,gb,Sanhedrin Mtn,60,Poison Rock Melange
2,Anczkiewicz et al.,2004,162.5,0.5,Lu-Hf,Grt-Hbl,Grt amph,amph,Berkeley Hills,PG14,
291,Shervais et al.,2011,165.6,2.5,Ar-Ar,Hbl,Grt-Ep amph,amph,Thomes Creek,,Plateau
161,Mulcahy et al.,2014,166,0.9,Lu-Hf,Grt-Ep-wr,Grt-Ep amph,amph,Tiburon,RM-8,
181,Mulcahy et al.,this work,166,1,Lu-Hf,Grt-wr,Grt-Omp amph,eclogite,Tiburon,EA,Minimum core age = eclogite
293,Shervais et al.,2011,166.3,3.6,Ar-Ar,Hbl,Hbl gneiss,amph,Wilbur Springs,,Plateau
292,Shervais et al.,2011,167.5,3.3,Ar-Ar,Hbl,Hbl gneiss,amph,Alder Springs,,Plateau
6,Anczkiewicz et al.,2004,168.7,0.8,Lu-Hf,Grt-Hbl,Grt amph,amph,Panoche/Hermes,PG80,
182,Mulcahy et al.,this work,172,1,Lu-Hf,Grt-wr,Grt-Ep-Omp amph,eclogite,Berkeley Hills,BH32,Minimum core age = eclogite
34,Firsov&Dobretsov*,1970,175.0356,4,K-Ar,Cpx,Eclogite,eclogite,Tiburon,2689,unspecified error doubled
183,Mulcahy et al.,this work,176,4,U-Pb,Zrn,Grt-Omp amph,eclogite,Tiburon,EA,"206/238,  inclusions in Grt"
162,Page et al.***,2003,178.2,7.2,U-Pb,Zrn,Eclogite,eclogite,Healdsburg,,concordant
261,Suppe&Foland,1978,180,,Rb-Sr,wr-wm,Mica schist,ms,Goat Mtn,C-381,"Goat Mtn Schist,""isochron"""
262,Suppe&Foland,1978,180,,Rb-Sr,wr-wm-ba,Metachert,ms,Goat Mtn,1120A,"Goat Mtn Schist, ""isochron"""
168,Ross & Sharp***,1986,190,10,Sm-Nd,Grt-Hbl,Hornblendite,amph,Pacheco Pass?,,Location from Moore & Blake (1989)
163,Page et al.***,2003,218.9,6,U-Pb,Zrn,Eclogite,eclogite,Healdsburg,,"206/238, reversely discordant"
