Spot,Occurrence,Age_Status,Ree_Status,Age,Error,AgeGroup,Y,Nb,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U,Th
JSEA1-1-13-1,Garnet,Include,Include,177,4,170,60.87,0.58,0.13,0.12,NA,0.05,NA,0.23,0.17,1.84,0.4,5.22,2.3,8.55,2.2,17.88,3.14,11923.359,140.181,0.396
JSEA1-1-13-2,Garnet,Include,Exclude,176,2,170,17.22,0.48,0.53,NA,NA,0.11,NA,0.36,0.09,4.09,0.64,3.84,0.94,0.84,0.14,1.25,0.08,10958.524,66.118,0.77
JSEA1-1-14,Garnet,Include,Exclude,170,7,170,115.35,0.65,NA,NA,NA,0.09,NA,0.21,0.2,1.62,0.5,7.86,4.34,19.75,4.13,41.98,9.15,5372.873,33.693,0.161
JSEA1-2-3,Garnet,Exclude,Exclude,160,10,160,73.76,2.24,NA,0.07,NA,0.03,NA,0.2,0.14,1.05,0.26,4.55,2.64,9.4,1.93,17.54,3.9,10200.965,17.736,0.185
JSEA1-2-5-1,Garnet,Include,Include,168,5,160,128.47,0.79,NA,0.07,NA,0.01,NA,0.09,0.13,1.68,0.96,13.39,4.98,18.59,4.11,33.11,6.67,9212.959,5.14,0.025
JSEA1-2-9,Garnet,Exclude,Exclude,253,56,200,73.76,0.37,NA,NA,NA,0.15,NA,0.32,0.16,2,0.49,4.73,2.13,8.83,1.74,14.53,2.53,10802.693,33.864,0.197
JSEA1-2-11,Garnet,Include,Include,196,7,190,45.91,0.75,0.02,0.15,NA,0.03,NA,0.14,0.1,1.13,0.42,4.74,1.52,4.52,0.79,5.57,1.16,12157.868,40.507,0.33
JSEA1-2-12-1,Garnet,Exclude,Exclude,190,15,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12947.77,40.002,0.363
JSEA1-2-16-1,Garnet,Include,Exclude,182,3,180,3.42,0.04,0.8,1.02,NA,0.03,NA,0.45,0.19,0.42,0.27,1.04,0.17,0.36,0.11,0.75,0.15,10861.345,27.63,1.732
JSEA2-3-1,Garnet,Include,Exclude,175,6,170,159.36,1.14,NA,NA,NA,0,NA,0.21,0.19,2.72,0.62,10.18,5.46,21.04,4.17,32.86,6.7,9050.68,30.462,0.284
JSEA2-3-2,Garnet,Include,Include,161,5,160,77.12,0.88,0,0.14,NA,0.03,NA,0.14,0.04,1.01,0.44,5.84,2.63,9.66,1.81,14.15,3.2,NA,NA,NA
